Year,Indicator Name,Indicator Code,Value
1993,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,3.66E+12
1992,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,3.59E+12
1991,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,3.17E+12
1990,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,3.22E+12
1989,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,3.08E+12
1988,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,3.05E+12
1987,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,2.77E+12
1986,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,2.68E+12
2018,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,1010.212313
2017,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,970.3749202
2016,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,911.1330229
2015,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,864.4370921
2014,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,857.8275231
2013,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,829.6107849
2012,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,829.5063954
2011,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,806.7312711
2010,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,788.1913482
2009,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,788.2963606
2008,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,809.9872013
2007,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,800.0492783
2006,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,784.6311494
2005,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,787.1144224
2004,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,720.4383474
2003,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,669.3719233
2002,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,682.4015131
2001,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,689.4339817
2000,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,703.2036587
1999,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,719.1445042
1998,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,688.1855686
1997,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,697.1801152
1996,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,688.583993
1995,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,661.3528228
1994,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,635.2613599
1993,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,631.1516026
1992,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,635.1023651
1991,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,577.8590192
1990,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,602.6509785
1989,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,593.9905786
1988,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,607.3118926
1987,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,568.6395282
1986,Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,567.0027509
2018,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,4.105360924
2017,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,6.502003091
2016,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,5.40188884
2015,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,0.770500928
2014,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,3.401201949
2013,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,0.012584538
2012,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,2.823136419
2011,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,2.352210903
2010,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-0.013321427
2009,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-2.677923889
2008,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,1.242163858
2007,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,1.965016164
2006,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-0.315490725
2005,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,9.254931423
2004,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,7.629005995
2003,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-1.909372935
2002,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-1.020035104
2001,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-1.958135012
2000,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-2.2166401
1999,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,4.498631903
1998,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-1.290132404
1997,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,1.248376713
1996,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,4.117495113
1995,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,4.107201318
1994,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,0.651152154
1993,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-0.622067035
1992,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,9.906109272
1991,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-4.113817141
1990,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,1.458002908
1989,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,-2.19348809
1988,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,6.800857568
1987,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,0.288671847
2018,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,8.42E+11
2017,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,8.01E+11
2016,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,7.25E+11
2015,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,6.99E+11
2014,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,6.67E+11
2013,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,6.24E+11
2012,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,6.05E+11
2011,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,5.84E+11
2010,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,5.06E+11
2009,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,5.00E+11
2008,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,4.75E+11
2007,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,4.55E+11
2006,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,4.22E+11
2005,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,3.46E+11
2004,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,3.05E+11
2003,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,2.75E+11
2002,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,2.56E+11
2001,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,2.51E+11
2000,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,2.26E+11
1999,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1.76E+11
1998,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1.55E+11
1997,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1.53E+11
1996,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1.42E+11
1995,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1.33E+11
1994,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1.19E+11
1993,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1.13E+11
1992,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,1.06E+11
1991,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,92685505050
1990,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,90486741224
2018,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,8.46E+11
2017,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,7.96E+11
2016,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,7.32E+11
2015,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,6.80E+11
2014,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,6.61E+11
2013,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,6.26E+11
2012,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,6.13E+11
2011,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,5.84E+11
2010,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,5.58E+11
2009,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,5.46E+11
2008,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,5.49E+11
2007,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,5.30E+11
2006,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,5.08E+11
2005,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,4.98E+11
2004,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,4.45E+11
2003,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,4.04E+11
2002,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,4.03E+11
2001,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,3.97E+11
2000,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,3.95E+11
1999,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,3.93E+11
1998,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,3.66E+11
1997,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,3.61E+11
1996,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,3.46E+11
1995,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,3.23E+11
1994,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,3.02E+11
1993,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,2.92E+11
1992,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,2.85E+11
1991,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,2.53E+11
1990,"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,2.56E+11
2018,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,82.11180902
2017,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,81.96285328
2016,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,80.02045558
2015,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,79.76628449
2014,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,81.01780756
2013,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,80.81884379
2012,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,82.44746464
2011,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,81.14979175
2010,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,79.7156063
2009,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,79.21200069
2008,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,81.8740428
2007,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,77.90013751
2006,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,77.64553027
2005,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,76.9487192
2004,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,74.18948051
2003,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,73.85609051
2002,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,74.78371326
2001,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,76.27529382
2000,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,75.37734791
1999,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,75.68792181
1998,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,72.06683756
1997,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,74.87559259
1996,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,72.88216575
1995,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,72.42376691
1994,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,71.10224559
1993,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,72.21225754
1992,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,70.02457675
1991,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,68.21634977
1990,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,73.76075501
1989,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,72.16748342
1988,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,74.55937626
1987,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,75.10000188
1986,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,79.23001074
1985,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,81.97171119
1984,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,81.19834459
1983,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,80.84118743
1982,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,82.2164522
1981,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,81.75691898
1980,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,83.09578437
1979,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,83.81635215
1978,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,80.54482264
1977,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,79.30505638
1976,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,80.54735795
1975,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,84.66690785
1974,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,83.89317927
1973,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,78.29606938
1972,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,79.04923061
1971,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,79.57754575
1970,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,80.95925621
1969,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,80.46969696
1968,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,77.36769003
1967,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,81.09418975
2018,Final consumption expenditure (current US$),NE.CON.TOTL.CD,2.95E+11
2017,Final consumption expenditure (current US$),NE.CON.TOTL.CD,2.84E+11
2016,Final consumption expenditure (current US$),NE.CON.TOTL.CD,2.54E+11
2015,Final consumption expenditure (current US$),NE.CON.TOTL.CD,2.45E+11
2014,Final consumption expenditure (current US$),NE.CON.TOTL.CD,2.24E+11
2013,Final consumption expenditure (current US$),NE.CON.TOTL.CD,2.12E+11
2012,Final consumption expenditure (current US$),NE.CON.TOTL.CD,2.09E+11
2011,Final consumption expenditure (current US$),NE.CON.TOTL.CD,1.94E+11
2010,Final consumption expenditure (current US$),NE.CON.TOTL.CD,1.60E+11
2009,Final consumption expenditure (current US$),NE.CON.TOTL.CD,1.51E+11
2008,Final consumption expenditure (current US$),NE.CON.TOTL.CD,1.56E+11
2007,Final consumption expenditure (current US$),NE.CON.TOTL.CD,1.34E+11
2006,Final consumption expenditure (current US$),NE.CON.TOTL.CD,1.21E+11
2005,Final consumption expenditure (current US$),NE.CON.TOTL.CD,92850165775
2004,Final consumption expenditure (current US$),NE.CON.TOTL.CD,80722233802
2003,Final consumption expenditure (current US$),NE.CON.TOTL.CD,68800614649
2002,Final consumption expenditure (current US$),NE.CON.TOTL.CD,60381714842
2001,Final consumption expenditure (current US$),NE.CON.TOTL.CD,60780745448
2000,Final consumption expenditure (current US$),NE.CON.TOTL.CD,62135047113
1999,Final consumption expenditure (current US$),NE.CON.TOTL.CD,54187757044
1998,Final consumption expenditure (current US$),NE.CON.TOTL.CD,51825143364
1997,Final consumption expenditure (current US$),NE.CON.TOTL.CD,54172852203
1996,Final consumption expenditure (current US$),NE.CON.TOTL.CD,54155969824
1995,Final consumption expenditure (current US$),NE.CON.TOTL.CD,51035697457
1994,Final consumption expenditure (current US$),NE.CON.TOTL.CD,43184551610
1993,Final consumption expenditure (current US$),NE.CON.TOTL.CD,43919297785
1992,Final consumption expenditure (current US$),NE.CON.TOTL.CD,40334375820
1991,Final consumption expenditure (current US$),NE.CON.TOTL.CD,37513500706
1990,Final consumption expenditure (current US$),NE.CON.TOTL.CD,35568271668
1989,Final consumption expenditure (current US$),NE.CON.TOTL.CD,35733082722
1988,Final consumption expenditure (current US$),NE.CON.TOTL.CD,34652225332
1987,Final consumption expenditure (current US$),NE.CON.TOTL.CD,29560951075
1986,Final consumption expenditure (current US$),NE.CON.TOTL.CD,29344437247
1985,Final consumption expenditure (current US$),NE.CON.TOTL.CD,29298230040
1984,Final consumption expenditure (current US$),NE.CON.TOTL.CD,29060052234
1983,Final consumption expenditure (current US$),NE.CON.TOTL.CD,26470927969
1982,Final consumption expenditure (current US$),NE.CON.TOTL.CD,28439245479
1981,Final consumption expenditure (current US$),NE.CON.TOTL.CD,25830350970
1980,Final consumption expenditure (current US$),NE.CON.TOTL.CD,22062412020
1979,Final consumption expenditure (current US$),NE.CON.TOTL.CD,18562852717
1978,Final consumption expenditure (current US$),NE.CON.TOTL.CD,16284077455
1977,Final consumption expenditure (current US$),NE.CON.TOTL.CD,13684012990
1976,Final consumption expenditure (current US$),NE.CON.TOTL.CD,12192585131
1975,Final consumption expenditure (current US$),NE.CON.TOTL.CD,10808298283
1974,Final consumption expenditure (current US$),NE.CON.TOTL.CD,8222499374
1973,Final consumption expenditure (current US$),NE.CON.TOTL.CD,5682675750
1972,Final consumption expenditure (current US$),NE.CON.TOTL.CD,8474329861
1971,Final consumption expenditure (current US$),NE.CON.TOTL.CD,9543535594
1970,Final consumption expenditure (current US$),NE.CON.TOTL.CD,9135496220
1969,Final consumption expenditure (current US$),NE.CON.TOTL.CD,7808293196
1968,Final consumption expenditure (current US$),NE.CON.TOTL.CD,7086288093
1967,Final consumption expenditure (current US$),NE.CON.TOTL.CD,6829352856
2018,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,3.25E+13
2017,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.98E+13
2016,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.66E+13
2015,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.49E+13
2014,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.31E+13
2013,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.06E+13
2012,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.86E+13
2011,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.66E+13
2010,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.34E+13
2009,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.18E+13
2008,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,9.75E+12
2007,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,8.11E+12
2006,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,7.24E+12
2005,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,5.51E+12
2004,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,4.65E+12
2003,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,4.03E+12
2002,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,3.72E+12
2001,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,3.54E+12
2000,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,3.21E+12
1999,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.53E+12
1998,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.23E+12
1997,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.11E+12
1996,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.81E+12
1995,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.57E+12
1994,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.30E+12
1993,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.14E+12
1992,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.00E+12
1991,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,8.39E+11
1990,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,7.61E+11
1989,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,6.85E+11
1988,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,6.08E+11
1987,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,5.07E+11
1986,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,4.73E+11
1985,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,4.44E+11
1984,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,3.92E+11
1983,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,3.36E+11
1982,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,3.00E+11
1981,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.56E+11
1980,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,2.18E+11
1979,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.84E+11
1978,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.61E+11
1977,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.35E+11
1976,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.21E+11
1975,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,1.07E+11
1974,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,81402743800
1973,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,60082930700
1972,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,49210433500
1971,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,45446316500
1970,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,43503233000
1969,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,37183092200
1968,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,33744903900
1967,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,32521378300
2018,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,2.45E+11
2017,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,2.29E+11
2016,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,2.11E+11
2015,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,1.96E+11
2014,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,1.90E+11
